trial,nodes,mode,storage,job_dir,rc,elapsed_s,stage_s,exec_s,deployment_runtime_s,validation_s,outputs,area_outputs,failures,mismatches,passed,timing_log
1,120,baseline,beegfs,baseline_857795,0,44,0,37,37,2,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/120node/baseline_857795/timing.log
1,120,code_only,beegfs,code_only_857796,0,24,0,15,15,5,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/120node/code_only_857796/timing.log
1,120,code_only,scratch,code_only_857797,0,10,4,1,5,3,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/120node/code_only_857797/timing.log
1,120,code_only,tmpfs,code_only_857798,0,10,2,1,3,3,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/120node/code_only_857798/timing.log
1,120,wdd_dpm,beegfs,wdd_dpm_857802,0,96,0,86,86,10,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/120node/wdd_dpm_857802/timing.log
1,120,wdd_dpm,scratch,wdd_dpm_857803,0,11,3,1,4,3,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/120node/wdd_dpm_857803/timing.log
1,120,wdd_dpm,tmpfs,wdd_dpm_857804,0,10,2,1,3,3,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/120node/wdd_dpm_857804/timing.log
1,120,wdd_only,beegfs,wdd_only_857799,0,26,0,11,11,15,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/120node/wdd_only_857799/timing.log
1,120,wdd_only,scratch,wdd_only_857800,0,11,4,1,5,3,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/120node/wdd_only_857800/timing.log
1,120,wdd_only,tmpfs,wdd_only_857801,0,10,2,1,3,3,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/120node/wdd_only_857801/timing.log
1,30,baseline,beegfs,baseline_857775,0,17,0,10,10,6,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/30node/baseline_857775/timing.log
1,30,code_only,beegfs,code_only_857776,0,261,0,244,244,15,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/30node/code_only_857776/timing.log
1,30,code_only,scratch,code_only_857777,0,25,8,3,11,13,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/30node/code_only_857777/timing.log
1,30,code_only,tmpfs,code_only_857778,0,20,4,3,7,12,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/30node/code_only_857778/timing.log
1,30,wdd_dpm,beegfs,wdd_dpm_857782,0,36,0,16,16,19,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/30node/wdd_dpm_857782/timing.log
1,30,wdd_dpm,scratch,wdd_dpm_857783,0,22,4,3,7,12,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/30node/wdd_dpm_857783/timing.log
1,30,wdd_dpm,tmpfs,wdd_dpm_857784,0,20,4,3,7,12,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/30node/wdd_dpm_857784/timing.log
1,30,wdd_only,beegfs,wdd_only_857779,0,299,0,274,274,49,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/30node/wdd_only_857779/timing.log
1,30,wdd_only,scratch,wdd_only_857780,0,21,6,3,9,11,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/30node/wdd_only_857780/timing.log
1,30,wdd_only,tmpfs,wdd_only_857781,0,20,4,3,7,11,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/30node/wdd_only_857781/timing.log
1,60,baseline,beegfs,baseline_857785,0,23,0,18,18,9,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/60node/baseline_857785/timing.log
1,60,code_only,beegfs,code_only_857786,0,166,0,155,155,41,15000,15000,0,0,True,/qfs/projects/datamesh/tang584/widget_evaluation/workflow_representation_experiments/Montage/agentic_runs_3trial_30gb/runs/montage30_3trial_20260618T201716Z/trial_1/60node/code_only_857786/timing.log
